X,Y
-1,0.26293738887446233
-0.997,0.6928984916690248
-0.994,0.9842365343892031
-0.991,0.4586826627574402
-0.988,25
-0.985,0.5966718370705879
-0.982,0.6982539762251264
-0.979,0.8545203291331802
-0.976,1.287264642342945
-0.973,0.7581637551362435
-0.97,25
-0.967,1.0972191098568267
-0.964,0.4132768295431753
-0.961,0.8194472599688118
-0.958,0.6711983106936922
-0.955,-0.990878097272379
-0.952,25
-0.949,0.44981695218714346
-0.946,0.559118722574836
-0.943,-0.17435420625177617
-0.94,25
-0.937,0.3412222159942996
-0.9339999999999999,25
-0.931,-0.5310388081614563
-0.9279999999999999,0.36417379558603136
-0.925,0.1701116927510022
-0.922,0.42154820189489856
-0.919,0.2839211942781622
-0.916,-0.619920426100662
-0.913,-0.3022109157983865
-0.91,-0.9930319283080382
-0.907,25
-0.904,-1.1603395350490007
-0.901,-0.587595419006562
-0.898,-0.49853411376173673
-0.895,-0.3745574453235043
-0.892,25
-0.889,-0.7737635032250643
-0.886,0.6589590070572356
-0.883,-0.8875888022406626
-0.88,-0.33841295952035666
-0.877,-1.1396543501707188
-0.874,-0.8388860186016178
-0.871,-1.1605363628990348
-0.868,-0.41982890920951493
-0.865,-0.19139766665160285
-0.862,-1.2400751156055145
-0.859,-0.601525199274238
-0.856,-1.3467639887523677
-0.853,-1.4326247366426546
-0.85,25
-0.847,25
-0.844,-0.546580888538228
-0.841,-0.7875937416660983
-0.838,25
-0.835,0.19968239930762688
-0.832,-0.8132271039161405
-0.829,25
-0.826,-1.5009723655357496
-0.823,-1.3574724506746954
-0.8200000000000001,-1.2175616256340924
-0.817,0.1354682515106176
-0.8140000000000001,-1.3957693424647584
-0.8109999999999999,-0.9827918168282783
-0.808,-1.3139699073343252
-0.8049999999999999,-0.9682447665299415
-0.802,-0.8860907487295047
-0.7989999999999999,-0.2874634559039345
-0.796,-0.9652066054921262
-0.7929999999999999,25
-0.79,-1.0556650919177586
-0.787,-0.8960838968615162
-0.784,-0.5885791253106714
-0.781,-1.1602086291603715
-0.778,-1.1326794408738934
-0.775,-1.8576056336964215
-0.772,0.11497683340348985
-0.769,-2.446300124397152
-0.766,-1.8460080188745633
-0.763,25
-0.76,25
-0.757,-0.4068263604108583
-0.754,-0.9359545752095295
-0.751,25
-0.748,-1.2934164016279415
-0.745,-0.5326260346107203
-0.742,25
-0.739,-0.8899786684481172
-0.736,-0.9777983403950535
-0.733,25
-0.73,25
-0.727,-0.8120310693310013
-0.724,25
-0.721,-1.4134684336396801
-0.718,-1.0688044381753958
-0.715,-1.6064196927360965
-0.712,-1.618648069325253
-0.7090000000000001,25
-0.706,-0.7744383032047062
-0.7030000000000001,-1.554984844411142
-0.7,-1.4549748824202415
-0.6970000000000001,-0.25070991612201177
-0.694,-1.2155150031809767
-0.6910000000000001,0.06312284205861207
-0.688,-0.8485691143848275
-0.685,-0.5781411159336411
-0.6819999999999999,-0.25839716984321864
-0.679,-0.4680606868836289
-0.6759999999999999,25
-0.673,-0.660181919053695
-0.6699999999999999,-0.7724143152370886
-0.667,-0.6340325978025444
-0.6639999999999999,25
-0.661,25
-0.6579999999999999,-0.9695866407041926
-0.655,-1.0122705048057097
-0.6519999999999999,-0.8494759256621276
-0.649,0.1368780532817612
-0.646,25
-0.643,25
-0.64,0.708137779573017
-0.637,-0.9249226362528697
-0.634,0.2856707020293954
-0.631,0.17111573339727748
-0.628,25
-0.625,0.3904296630394869
-0.622,25
-0.619,0.3364847115750401
-0.616,1.123661906693588
-0.613,25
-0.61,0.7278899778134743
-0.607,25
-0.604,0.05388656230949529
-0.601,0.5440508389361081
-0.598,-0.17308008907043454
-0.595,0.09081861191372703
-0.592,-0.3376988756926599
-0.589,1.5859868412997762
-0.586,0.07319342551560343
-0.583,0.6757282762102561
-0.5800000000000001,0.48626593244680594
-0.577,0.183287768482085
-0.5740000000000001,25
-0.571,1.0387274349242057
-0.5680000000000001,0.0636899114141628
-0.565,-0.048953090161651835
-0.562,0.6813146788997866
-0.5589999999999999,25
-0.556,0.8516591968572281
-0.5529999999999999,1.2129405367717592
-0.55,0.9933396557112149
-0.5469999999999999,0.7566039957246088
-0.544,25
-0.5409999999999999,1.1670665492061851
-0.538,0.539634001911952
-0.5349999999999999,25
-0.532,0.5349157143384113
-0.5289999999999999,0.024382724589707916
-0.526,1.3988302220116835
-0.5229999999999999,0.9631766640463375
-0.52,1.6419916612319319
-0.517,1.0789450100239706
-0.514,0.934083001179881
-0.511,25
-0.508,0.5008462937700513
-0.505,1.0976457455968747
-0.502,0.5188235141203665
-0.499,0.9679547784819872
-0.496,1.42601100105012
-0.493,25
-0.49,25
